observation_id,overlapped_identity_groups,overlapped_group_count
OVL-C1313,dead-OVL-C0712;dead-OVL-C1107,2
OVL-C1314,dead-OVL-C1016,1
OVL-C1315,c05,1
OVL-C1401,c02;c05;c08;c10;c12;c14;dead-OVL-C0706;dead-OVL-C1013;dead-OVL-C1107,9
OVL-C1402,c02;c05;c12;dead-OVL-C0510;dead-OVL-C1315,5
OVL-C1403,c02;c05;dead-OVL-C0706;dead-OVL-C1013;dead-OVL-C1101;dead-OVL-C1107,6
OVL-C1404,c02;c04;c05;c08;c14;dead-OVL-C0002;dead-OVL-C0510;dead-OVL-C0706;dead-OVL-C0712;dead-OVL-C1013;dead-OVL-C1107;dead-OVL-C1512,12
OVL-C1405,c02;c04;c05;c07;c08;dead-OVL-C0002;dead-OVL-C0706;dead-OVL-C1101;dead-OVL-C1107,9
OVL-C1406,c07;c10;dead-OVL-C0002;dead-OVL-C0706;dead-OVL-C1101,5
OVL-C1407,c02;c04;c05;dead-OVL-C0002;dead-OVL-C0510;dead-OVL-C0706;dead-OVL-C1101;dead-OVL-C1107;dead-OVL-C1214,9
OVL-C1408,c02;c12;dead-OVL-C1101;dead-OVL-C1512,4
OVL-C1409,c02;c04;c07;c08;dead-OVL-C0706;dead-OVL-C1101;dead-OVL-C1107;dead-OVL-C1214,8
OVL-C1410,c02;c04;c08;dead-OVL-C0706;dead-OVL-C1101,5
OVL-C1411,c02;c04;c10;dead-OVL-C0002;dead-OVL-C1101,5
OVL-C1412,dead-OVL-C0510,1
OVL-C1413,c02;c05;dead-OVL-C0002;dead-OVL-C1214,4
OVL-C1414,c04;dead-OVL-C1016,2
OVL-C1501,c01;c02;c03;c04;c05;c07;c08;c10;c12;c14;dead-OVL-C0002;dead-OVL-C0706;dead-OVL-C1101;dead-OVL-C1107;dead-OVL-C1214,15
OVL-C1502,c01;c02;c03;c04;c05;c08;c12;dead-OVL-C0002;dead-OVL-C0706;dead-OVL-C1107;dead-OVL-C1214,11
OVL-C1503,c01;c02;c03;c04;c08;c10;dead-OVL-C0002;dead-OVL-C1016;dead-OVL-C1101;dead-OVL-C1107,10
OVL-C1504,c01;c03;c04;c07;c08;c10;c12;dead-OVL-C0002;dead-OVL-C0706;dead-OVL-C1101,10
OVL-C1505,c01;c03;c04;c05;c07;c10;dead-OVL-C0002;dead-OVL-C0706;dead-OVL-C1101;dead-OVL-C1107,10
OVL-C1506,c03;c04;c07;dead-OVL-C0002,4
OVL-C1507,c01;c02;c03;c04;c05;c07;dead-OVL-C0510;dead-OVL-C1107,8
OVL-C1508,c01;c02;c04;c05;c08;dead-OVL-C0002,6
OVL-C1509,c02;c03;c04;c07;c10,5
OVL-C1510,c02;c03;c12,3
OVL-C1511,c01;c02;c14;dead-OVL-C1107,4
OVL-C1512,c01;c12;dead-OVL-C1107,3
OVL-C1513,c02;c05;dead-OVL-C1214,3
OVL-C1601,c01;c02;c03;c04;c05;c07;c10;c12;dead-OVL-C0510;dead-OVL-C0706;dead-OVL-C1101,11
OVL-C1602,c01;c02;c03;c04;c05;c08;c13;c14;dead-OVL-C0510;dead-OVL-C0706;dead-OVL-C1101;dead-OVL-C1214;dead-OVL-C1512;dead-OVL-C1712,14
OVL-C1603,c02;c03;c04;c07;c08;c10;dead-OVL-C0706;dead-OVL-C1101,8
OVL-C1604,c01;c02;c04;c05;c08;c10;c12;c14;dead-OVL-C0510;dead-OVL-C1214;dead-OVL-C1712,11
OVL-C1605,c02;c03;c07;c10;c13;dead-OVL-C0510;dead-OVL-C0706;dead-OVL-C1101;dead-OVL-C1214,9
OVL-C1606,c01;c02;c03;c05;c07;c08;c14;dead-OVL-C0706;dead-OVL-C1214,9
OVL-C1607,c02;c03;c05;c12;dead-OVL-C1101;dead-OVL-C1512,6
OVL-C1608,c02;c03;c04;c05;c08;dead-OVL-C1101,6
OVL-C1609,c02;c03;c04;c10;dead-OVL-C0706;dead-OVL-C1101;dead-OVL-C1214;dead-OVL-C1712,8
OVL-C1610,c02;c03;c14;dead-OVL-C1712,4
OVL-C1611,c02;dead-OVL-C1214,2
OVL-C1701,c01;c02;c03;c04;c05;c06;c07;c08;c10;c12;c14;c16;dead-OVL-C1712,13
OVL-C1702,c01;c03;c04;c05;c06;c08;c18;dead-OVL-C1214;dead-OVL-C1712,9
OVL-C1703,c01;c02;c03;c05;c07;c08,6
OVL-C1704,c01;c02;c03;c05;c07;c08;dead-OVL-C1712,7
OVL-C1705,c02;c07;c08;dead-OVL-C1712,4
OVL-C1706,c03;c04;c05;c07,4
OVL-C1707,c03;c05;c12;c16,4
OVL-C1708,c01;c02;c04;c06;c08;c10,6
OVL-C1709,c01;c02;c03;c04;c06;c10;dead-OVL-C1712,7
OVL-C1710,c01;c02;c04;c05;c07;c13,6
OVL-C1711,c01;c05;c14,3
OVL-C1712,c01;c02;c10;c14;dead-OVL-C1712,5
OVL-C1713,c01;c02;c07;c10;dead-OVL-C1214,5
OVL-C1714,c02,1
OVL-C1801,c01;c02;c03;c04;c05;c06;c07;c11;c12;c13;c14,11
OVL-C1802,c01;c02;c03;c04;c05;c06;c07;c08;c10;c13;c14;c15;dead-OVL-C1214;dead-OVL-C1712,14
OVL-C1803,c03;c04;c06;c08;c10;c13,6
OVL-C1804,c01;c02;c03;c04;c05;c06;c07;c09;c13;dead-OVL-C1214,10
OVL-C1805,c01;c02;c03;c07;c08;c09;c13;c14;dead-OVL-C1714,9
OVL-C1806,c01;c02;c03;c04;c06;c07;c08;c10;c15,9
OVL-C1807,c01;c03;c10,3
OVL-C1808,c01;c02;c04;c05;c08;c10,6
OVL-C1809,c02;c08;c10,3
OVL-C1810,c01;c03;c12,3
OVL-C1811,c01;c02;c03;c04;c10;c11;dead-OVL-C1712,7
OVL-C1812,c06;c13,2
OVL-C1813,c05;c14,2
OVL-C1814,c01;c03;c07;c12;c16,5
OVL-C1815,c01;c04;c17;dead-OVL-C1214,4
OVL-C1816,c04;c18,2
OVL-C1901,c01;c02;c05;c06;c07;c12;c16;dead-OVL-C1214;dead-OVL-C1712,9
OVL-C1902,c01;c02;c05;c06;c07;c08;c10;dead-OVL-C1712,8
OVL-C1903,c01;c03;c04;c06;c07;dead-OVL-C1712,6
OVL-C1904,c01;c04;c06;c07;c08,5
OVL-C1905,c01;c05;c14,3
OVL-C1906,c01;c04;c05;c06;c07;c13,6
OVL-C1907,c01;c02;c05;c06;c07;c16,6
OVL-C1908,c04;c08,2
OVL-C1909,c02;c07,2
OVL-C1910,c08;c10,2
OVL-C1911,c05;dead-OVL-C1712,2
OVL-C1912,c05;c12,2
OVL-C1913,c04;c07;c13,3
OVL-C1914,c02;c14,2
OVL-C1915,c01;c06,2
OVL-C1916,c16,1
OVL-C1917,dead-OVL-C1214,1
OVL-C1918,c18,1
